timestamp,host,query,response_ip,type
2026-07-30 12:00:00,SALES-PC-002,github.com,124.248.191.211,A
2026-07-30 12:05:00,FIN-PC-023,cloudflare.com,60.33.159.182,A
2026-07-30 12:10:00,LEGAL-PC-006,linkedin.com,54.14.88.50,A
2026-07-30 12:15:00,FIN-PC-011,google.com,83.16.233.13,A
2026-07-30 12:20:00,ENG-PC-019,github.com,90.188.237.130,A
2026-07-30 12:25:00,VPN-GW-01,office.com,194.15.123.96,A
2026-07-30 12:30:00,SALES-PC-002,aws.amazon.com,134.90.242.151,A
2026-07-30 12:35:00,LEGAL-PC-006,zoom.us,108.83.132.192,A
2026-07-30 12:40:00,HR-PC-008,salesforce.com,27.197.25.42,A
2026-07-30 12:45:00,FILE-SERVER-02,github.com,76.115.105.69,A
2026-07-30 12:50:00,VPN-GW-01,cloudflare.com,25.4.242.234,A
2026-07-30 12:55:00,DC-SERVER-01,slack.com,173.4.114.65,A
2026-07-30 13:00:00,FILE-SERVER-02,salesforce.com,184.140.216.230,A
2026-07-30 13:05:00,VPN-GW-01,zoom.us,137.129.111.120,A
2026-07-30 13:10:00,IT-PC-004,cloudflare.com,179.203.52.2,A
2026-07-30 13:15:00,LEGAL-PC-006,zoom.us,163.144.152.176,A
2026-07-30 13:20:00,HR-PC-008,novafinance.com,36.172.141.164,A
2026-07-30 13:25:00,ENG-PC-019,salesforce.com,86.152.96.39,A
2026-07-30 13:30:00,LEGAL-PC-006,github.com,34.206.163.175,A
2026-07-30 13:35:00,DC-SERVER-01,google.com,187.254.151.67,A
2026-07-30 13:40:00,VPN-GW-01,linkedin.com,119.18.97.88,A
2026-07-30 13:45:00,FIN-PC-011,cloudflare.com,183.243.183.130,A
2026-07-30 13:50:00,IT-PC-004,slack.com,188.92.150.25,A
2026-07-30 13:55:00,SALES-PC-002,slack.com,86.93.171.168,A
2026-07-30 14:00:00,HR-PC-008,github.com,110.114.157.108,A
2026-07-30 14:05:00,ENG-PC-019,zoom.us,86.150.237.218,A
2026-07-30 14:10:00,HR-PC-008,novafinance.com,33.36.241.228,A
2026-07-30 14:15:00,FIN-PC-011,cloudflare.com,50.195.152.106,A
2026-07-30 14:20:00,FIN-PC-023,slack.com,55.102.175.105,A
2026-07-30 14:25:00,FILE-SERVER-02,novafinance.com,56.161.92.200,A
2026-07-30 14:30:00,HR-PC-008,novafinance.com,105.90.160.163,A
2026-07-30 14:35:00,FIN-PC-023,google.com,135.140.107.195,A
2026-07-30 14:40:00,DC-SERVER-01,aws.amazon.com,60.250.45.34,A
2026-07-30 14:45:00,FILE-SERVER-02,linkedin.com,182.219.206.110,A
2026-07-30 14:50:00,SALES-PC-002,linkedin.com,21.19.102.188,A
2026-07-30 14:55:00,ENG-PC-019,google.com,102.97.9.174,A
2026-07-30 15:00:00,FIN-PC-023,github.com,77.176.159.34,A
2026-07-30 15:05:00,HR-PC-008,linkedin.com,148.156.85.17,A
2026-07-30 15:10:00,FIN-PC-023,salesforce.com,94.233.172.112,A
2026-07-30 15:15:00,DC-SERVER-01,zoom.us,145.183.96.43,A
2026-07-30 15:20:00,VPN-GW-01,google.com,78.114.67.55,A
2026-07-30 15:25:00,FIN-PC-023,aws.amazon.com,149.86.63.94,A
2026-07-30 15:30:00,FIN-PC-023,linkedin.com,183.130.24.153,A
2026-07-30 15:35:00,FIN-PC-023,office.com,187.10.24.177,A
2026-07-30 15:40:00,HR-PC-008,linkedin.com,133.194.63.141,A
2026-07-30 15:45:00,IT-PC-004,novafinance.com,199.78.105.178,A
2026-07-30 15:50:00,FIN-PC-023,salesforce.com,127.51.138.160,A
2026-07-30 15:55:00,FILE-SERVER-02,slack.com,127.53.60.73,A
2026-07-30 16:00:00,HR-PC-008,office.com,147.101.102.200,A
2026-07-30 16:05:00,IT-PC-004,cloudflare.com,71.183.209.76,A
2026-07-30 16:10:00,DC-SERVER-01,google.com,160.254.106.177,A
2026-07-30 16:15:00,SALES-PC-002,zoom.us,80.1.6.172,A
2026-07-30 16:20:00,HR-PC-008,office.com,166.252.76.244,A
2026-07-30 16:25:00,HR-PC-008,cloudflare.com,39.51.131.165,A
2026-07-30 16:30:00,FIN-PC-011,novafinance.com,95.135.237.13,A
2026-07-30 16:35:00,HR-PC-008,slack.com,30.148.184.206,A
2026-07-30 16:40:00,ENG-PC-019,linkedin.com,49.48.23.3,A
2026-07-30 16:45:00,DC-SERVER-01,slack.com,104.183.224.245,A
2026-07-30 16:50:00,FILE-SERVER-02,salesforce.com,43.190.175.47,A
2026-07-30 16:55:00,HR-PC-008,linkedin.com,122.233.139.214,A
2026-07-30 10:07:00,FIN-PC-023,update-security-check.com,185.22.91.45,A
